,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,23,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.8023496926122746,0.7723304473304473,0.8074168797953966
1,1,0,16,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.813951833607006,0.7284013605442177,0.8265925367508481
2,2,0,16,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.8150560224089636,0.9099906629318393,0.8021103896103897
3,3,0,17,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",1.0,0.8112961175461175,0.6815295815295814,0.8339537666918619
4,4,0,31,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",1.0,0.8203465608465609,0.8537388392857143,0.8148100172711571
5,5,0,20,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",1.0,0.8102866645549571,0.7749622071050642,0.8160223367697594
6,6,0,35,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",1.0,0.7818713450292397,0.7197916666666666,0.7935112847222223
7,7,0,10,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",1.0,0.8471298108284409,0.797719651240778,0.8566887245361361
8,8,0,29,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",1.0,0.7980536659108087,0.7812585034013605,0.801222564497497
9,9,0,24,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",1.0,0.8065033222591362,0.6643353174603175,0.8350957701516359
10,10,0,22,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",1.0,0.7957399103139013,0.7106666666666667,0.8129380053908356
11,11,0,14,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",1.0,0.8284740765465064,0.7464912280701754,0.8461749188311688
12,12,0,9,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",1.0,0.816270733012306,0.8029100529100529,0.8188497382867356
13,13,0,25,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",1.0,0.7622961513372472,0.673575036075036,0.7780369943676395
14,14,0,12,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",1.0,0.7831380843909318,0.7154761904761905,0.797530255196001
15,15,0,8,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",1.0,0.7948347338935574,0.7075611325611325,0.8132342965676299
16,16,0,51,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",1.0,0.7738068900126421,0.7373613829093281,0.7808267370272646
17,17,0,10,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",1.0,0.818961593961594,0.8499530075187969,0.8122892216376636
18,18,0,7,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",1.0,0.7781717888100868,0.6406641604010025,0.8082887333607794
19,19,0,122,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",1.0,0.767013329033645,0.7818656229615134,0.7640830115830116
20,20,0,9,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",1.0,0.8056343770384866,0.7255877034358047,0.8232491046557899
21,21,0,158,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",1.0,0.8126650432900433,0.8284708249496981,0.8096238224287005
22,22,0,10,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",1.0,0.8256420545746388,0.7495535714285715,0.8423189823874755
23,23,0,260,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",1.0,0.7969312169312168,0.8295518207282914,0.7911244078783345
24,24,0,109,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",1.0,0.7945113056163385,0.6866029510395707,0.814359733530718
25,25,0,25,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",1.0,0.8156955591225254,0.7347799879445449,0.8331609419724174
26,26,0,32,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",1.0,0.8212237876802098,0.7633928571428571,0.8342195024077047
27,27,0,17,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",1.0,0.7852628184456627,0.7449633699633699,0.7938747553816048
28,28,0,393,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",1.0,0.7855296950240771,0.7845568783068784,0.7857174773394612
29,29,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",0.9955555555555555,0.7895396825396825,0.709996738421396,0.8049418971832764
30,30,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",0.9977578475336323,0.7757206918641897,0.7133597883597882,0.7877259994907053
31,31,1,8,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.7776018099547511,0.834725585149314,0.7688020639065026
32,32,1,18,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.7913390126692879,0.7564935064935064,0.7963692038495187
33,33,1,15,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.8413575225078642,0.8994805194805195,0.8330326140873016
