,RunId,iteration,Step,side,density,population,homophily,town,mobility,rel_dist_random,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.7995070092814454,0.5303347280334728,0.8395107794361526,0.7942447332336074
1,1,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.7700262308313155,0.5926463473633284,0.7562634062634063,0.7719999692383414
2,2,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.818955457619602,0.4933545986177565,0.802323991797676,0.8212589542112405
3,3,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.790632273610997,0.543314972458688,0.7857027276930189,0.7912946913925387
4,4,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.7882310735880075,0.5490605427974948,0.7898634453781513,0.7880098085745926
5,5,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.793901432488389,0.5293495505023796,0.7457010582010581,0.8009076780106389
6,6,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.8005606233371342,0.553821313240043,0.8280528052805279,0.7969823883161512
7,7,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.8075883603865515,0.5064935064935064,0.8737161531279178,0.798968507530808
8,8,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.7985326530612246,0.5316708229426433,0.7846488367036314,0.8005186463873596
9,9,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7958839704896042,0.5148609779482263,0.7918523372651812,0.7964484509282196
10,10,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.812198928295216,0.5058697972251868,0.8656804388422035,0.8050211466165413
11,11,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.7943662262592898,0.5257114328507239,0.8276178630656242,0.7899950169734343
12,12,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.8005766474676185,0.5191256830601093,0.7734785393978219,0.8045056969471792
13,13,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.8038889334509772,0.5037878787878788,0.7815057008718981,0.8069295128765792
14,14,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.81525832111636,0.49171270718232046,0.7545468848332284,0.824283531356223
15,15,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.7884350822708946,0.5387673956262425,0.7992082478924585,0.7869720597790774
16,16,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.7987876048002629,0.5291087068521381,0.7692783721418082,0.8032208250606663
17,17,0,45,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.8098357275871242,0.47297921478060045,0.8020304850912328,0.8108955765047136
18,18,0,46,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.8049353841831718,0.5334075723830735,0.7978354978354979,0.8058744473073131
19,19,0,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.794043511596703,0.5310415597742432,0.766411149825784,0.7977362326938597
20,20,0,60,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.7899521891610499,0.5294985250737463,0.7736301369863013,0.7923054014232421
21,21,0,52,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.8183692201518289,0.48153926157046284,0.7716655643738977,0.8250544352930038
22,22,0,69,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.8033497258948726,0.5004784688995215,0.7805672268907563,0.8063137755102042
23,23,0,35,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.7997540509259259,0.5229166666666667,0.7789420485175202,0.8026644364869957
24,24,0,85,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",True,1.0,0.7962531979863002,0.5512016718913271,0.731510745891277,0.8059753203607025
25,25,0,51,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",True,1.0,0.8236543909348442,0.4757776644569097,0.8403931339977851,0.8213325652841782
26,26,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",True,1.0,0.7887531690917108,0.5271549576482312,0.7749293324635791,0.7907594117832686
27,27,0,35,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",True,1.0,0.7849487834349427,0.5504869297796002,0.769915442812639,0.7870653195488723
28,28,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",True,1.0,0.7655430408124678,0.571969696969697,0.7657998150716596,0.7655090681102241
29,29,0,102,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",True,1.0,0.8022328999434709,0.5325062034739454,0.7525819418676563,0.8096902284971205
