,alpha,beta,iteration,p_u_sub,p_u_cand
0,3.0,0.0,47.0,0.5789473684210527,0.5263157894736842
0,3.0,-3.0,47.0,0.5263157894736842,0.21052631578947367
0,0.0,-3.0,48.0,0.10526315789473684,0.10526315789473684
0,3.0,0.0,48.0,0.5263157894736842,0.3157894736842105
0,3.0,-3.0,48.0,0.45,0.45
0,0.0,-3.0,49.0,0.2222222222222222,0.2222222222222222
0,3.0,0.0,49.0,0.3,0.1
0,3.0,-3.0,49.0,0.5789473684210527,0.5263157894736842
0,0.0,-3.0,50.0,0.2222222222222222,0.2222222222222222
0,3.0,0.0,50.0,0.2631578947368421,0.21052631578947367
0,3.0,-3.0,50.0,0.6190476190476191,0.5714285714285714
0,0.0,-3.0,51.0,0.15789473684210525,0.15789473684210525
0,3.0,0.0,51.0,0.3333333333333333,0.3333333333333333
0,3.0,-3.0,51.0,0.5263157894736842,0.3684210526315789
0,0.0,-3.0,52.0,0.2857142857142857,0.23809523809523808
0,3.0,0.0,52.0,0.21052631578947367,0.05263157894736842
0,3.0,-3.0,52.0,0.4,0.35
0,0.0,-3.0,53.0,0.21052631578947367,0.21052631578947367
0,3.0,0.0,53.0,0.26666666666666666,0.13333333333333333
0,3.0,-3.0,53.0,0.5,0.4
0,0.0,-3.0,54.0,0.125,0.125
0,3.0,0.0,54.0,0.631578947368421,0.3157894736842105
0,3.0,-3.0,54.0,0.6666666666666666,0.5714285714285714
0,0.0,-3.0,55.0,0.2222222222222222,0.16666666666666666
0,3.0,0.0,55.0,0.5,0.35
0,3.0,-3.0,55.0,0.47619047619047616,0.42857142857142855
0,0.0,-3.0,56.0,0.3333333333333333,0.14285714285714285
0,3.0,0.0,56.0,0.047619047619047616,0.047619047619047616
0,3.0,-3.0,56.0,0.5238095238095238,0.2857142857142857
0,0.0,-3.0,57.0,0.3157894736842105,0.3157894736842105
0,3.0,0.0,57.0,0.2222222222222222,0.1111111111111111
0,3.0,-3.0,57.0,0.6842105263157895,0.5263157894736842
0,0.0,-3.0,58.0,0.1,0.1
0,3.0,0.0,58.0,0.47619047619047616,0.42857142857142855
0,3.0,-3.0,58.0,0.5238095238095238,0.19047619047619047
0,0.0,-3.0,59.0,0.1111111111111111,0.1111111111111111
0,3.0,0.0,59.0,0.38095238095238093,0.19047619047619047
0,3.0,-3.0,59.0,0.6190476190476191,0.47619047619047616
0,0.0,-3.0,60.0,0.3333333333333333,0.26666666666666666
0,3.0,0.0,60.0,0.2777777777777778,0.16666666666666666
0,3.0,-3.0,60.0,0.7619047619047619,0.6190476190476191
0,0.0,-3.0,61.0,0.21052631578947367,0.21052631578947367
0,3.0,0.0,61.0,0.4375,0.25
0,3.0,-3.0,61.0,0.8,0.4
0,0.0,-3.0,62.0,0.2,0.2
0,3.0,0.0,62.0,0.4,0.35
0,3.0,-3.0,62.0,0.631578947368421,0.3157894736842105
0,0.0,-3.0,63.0,0.0,0.0
0,3.0,0.0,63.0,0.4444444444444444,0.4444444444444444
0,3.0,-3.0,63.0,0.7,0.55
0,0.0,-3.0,64.0,0.1111111111111111,0.1111111111111111
0,3.0,0.0,64.0,0.3888888888888889,0.3888888888888889
0,3.0,-3.0,64.0,0.7727272727272727,0.6818181818181818
0,0.0,-3.0,65.0,0.2,0.2
0,3.0,0.0,65.0,0.15,0.15
0,3.0,-3.0,65.0,0.8,0.65
0,0.0,-3.0,66.0,0.16666666666666666,0.16666666666666666
0,3.0,0.0,66.0,0.42857142857142855,0.14285714285714285
0,3.0,-3.0,66.0,0.65,0.45
0,0.0,-3.0,67.0,0.15,0.15
0,3.0,0.0,67.0,0.5263157894736842,0.0
0,3.0,-3.0,67.0,0.5714285714285714,0.47619047619047616
0,0.0,-3.0,68.0,0.42857142857142855,0.42857142857142855
0,3.0,0.0,68.0,0.55,0.45
0,3.0,-3.0,68.0,0.5789473684210527,0.5789473684210527
0,0.0,-3.0,69.0,0.2857142857142857,0.14285714285714285
0,3.0,0.0,69.0,0.4,0.2
0,3.0,-3.0,69.0,0.75,0.65
0,0.0,-3.0,70.0,0.47619047619047616,0.42857142857142855
0,3.0,0.0,70.0,0.3,0.25
0,3.0,-3.0,70.0,0.47368421052631576,0.3157894736842105
0,0.0,-3.0,71.0,0.42105263157894735,0.3684210526315789
0,3.0,0.0,71.0,0.7894736842105263,0.47368421052631576
0,3.0,-3.0,71.0,0.42105263157894735,0.3157894736842105
0,0.0,-3.0,72.0,0.14285714285714285,0.09523809523809523
0,3.0,0.0,72.0,0.3157894736842105,0.21052631578947367
0,3.0,-3.0,72.0,0.45,0.35
0,0.0,-3.0,73.0,0.2777777777777778,0.2777777777777778
0,3.0,0.0,73.0,0.5,0.45
0,3.0,-3.0,73.0,0.6,0.55
0,0.0,-3.0,74.0,0.23529411764705882,0.17647058823529413
0,3.0,0.0,74.0,0.47619047619047616,0.38095238095238093
0,3.0,-3.0,74.0,0.42857142857142855,0.38095238095238093
0,0.0,-3.0,75.0,0.3684210526315789,0.3684210526315789
0,3.0,0.0,75.0,0.7142857142857143,0.6666666666666666
0,3.0,-3.0,75.0,0.5,0.4
0,0.0,-3.0,76.0,0.2631578947368421,0.2631578947368421
0,3.0,0.0,76.0,0.55,0.5
0,3.0,-3.0,76.0,0.45,0.25
0,0.0,-3.0,77.0,0.21052631578947367,0.21052631578947367
0,3.0,0.0,77.0,0.7,0.3
0,3.0,-3.0,77.0,0.5625,0.5625
0,0.0,-3.0,78.0,0.3157894736842105,0.3157894736842105
0,3.0,0.0,78.0,0.21052631578947367,0.21052631578947367
0,3.0,-3.0,78.0,0.47619047619047616,0.19047619047619047
0,0.0,-3.0,79.0,0.1875,0.1875
0,3.0,0.0,79.0,0.42105263157894735,0.05263157894736842
0,3.0,-3.0,79.0,0.7272727272727273,0.5454545454545454
0,0.0,-3.0,80.0,0.2,0.13333333333333333
0,3.0,0.0,80.0,0.5714285714285714,0.5238095238095238
0,3.0,-3.0,80.0,0.3333333333333333,0.19047619047619047
0,0.0,-3.0,81.0,0.05555555555555555,0.05555555555555555
0,3.0,0.0,81.0,0.45454545454545453,0.4090909090909091
0,3.0,-3.0,81.0,0.5555555555555556,0.5
0,0.0,-3.0,82.0,0.05263157894736842,0.05263157894736842
0,3.0,0.0,82.0,0.6818181818181818,0.6363636363636364
0,3.0,-3.0,82.0,0.5,0.4
0,0.0,-3.0,83.0,0.29411764705882354,0.29411764705882354
0,3.0,0.0,83.0,0.3333333333333333,0.3333333333333333
0,3.0,-3.0,83.0,0.47619047619047616,0.3333333333333333
0,0.0,-3.0,84.0,0.125,0.125
0,3.0,0.0,84.0,0.45,0.25
0,3.0,-3.0,84.0,0.5,0.3
0,0.0,-3.0,85.0,0.17647058823529413,0.17647058823529413
0,3.0,0.0,85.0,0.3684210526315789,0.3684210526315789
0,3.0,-3.0,85.0,0.631578947368421,0.47368421052631576
0,0.0,-3.0,86.0,0.05263157894736842,0.05263157894736842
0,3.0,0.0,86.0,0.21052631578947367,0.21052631578947367
0,3.0,-3.0,86.0,0.35,0.15
0,0.0,-3.0,87.0,0.2631578947368421,0.2631578947368421
0,3.0,0.0,87.0,0.4090909090909091,0.3181818181818182
0,3.0,-3.0,87.0,0.2777777777777778,0.2777777777777778
0,0.0,-3.0,88.0,0.29411764705882354,0.29411764705882354
0,3.0,0.0,88.0,0.2857142857142857,0.0
0,3.0,-3.0,88.0,0.5909090909090909,0.45454545454545453
0,0.0,-3.0,89.0,0.2631578947368421,0.2631578947368421
0,3.0,0.0,89.0,0.5,0.5
0,3.0,-3.0,89.0,0.45,0.15
0,0.0,-3.0,90.0,0.16666666666666666,0.16666666666666666
0,3.0,0.0,90.0,0.42105263157894735,0.3157894736842105
0,3.0,-3.0,90.0,0.625,0.4375
0,0.0,-3.0,91.0,0.375,0.375
0,3.0,0.0,91.0,0.35,0.35
0,3.0,-3.0,91.0,0.5,0.45
0,0.0,-3.0,92.0,0.3157894736842105,0.3157894736842105
0,3.0,0.0,92.0,0.35,0.3
0,3.0,-3.0,92.0,0.8947368421052632,0.8421052631578947
0,0.0,-3.0,93.0,0.2631578947368421,0.2631578947368421
0,3.0,0.0,93.0,0.35,0.3
0,3.0,-3.0,93.0,0.6,0.5
0,0.0,-3.0,94.0,0.1,0.1
0,3.0,0.0,94.0,0.2727272727272727,0.13636363636363635
0,3.0,-3.0,94.0,0.6,0.6
0,0.0,-3.0,95.0,0.2777777777777778,0.2222222222222222
0,3.0,0.0,95.0,0.3333333333333333,0.2857142857142857
0,3.0,-3.0,95.0,0.35,0.35
0,0.0,-3.0,96.0,0.3888888888888889,0.3333333333333333
0,3.0,0.0,96.0,0.2631578947368421,0.2631578947368421
0,3.0,-3.0,96.0,0.22727272727272727,0.18181818181818182
0,0.0,-3.0,97.0,0.19047619047619047,0.19047619047619047
0,3.0,0.0,97.0,0.2,0.05
0,3.0,-3.0,97.0,0.3684210526315789,0.3157894736842105
0,0.0,-3.0,98.0,0.1875,0.1875
0,3.0,0.0,98.0,0.4666666666666667,0.26666666666666666
0,3.0,-3.0,98.0,0.5909090909090909,0.4090909090909091
0,0.0,-3.0,99.0,0.1111111111111111,0.1111111111111111
0,3.0,0.0,99.0,0.45,0.3
0,3.0,-3.0,99.0,0.5714285714285714,0.5238095238095238
