,RunId,iteration,Step,side,density,population,homophily,town,mobility,rel_dist_random,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.8139292595650977,0.4902168164992068,0.7855839002267574,0.8178453947368421
1,1,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.7905504234026173,0.5544656685596283,0.7750162337662337,0.792810689090451
2,2,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.8111849547511313,0.4889326119035908,0.8032893252087565,0.8122549469370279
3,3,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.7812559151996971,0.5710102489019033,0.8009604324821715,0.7786311822026108
4,4,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.7849914728062461,0.5625920471281296,0.7808397683397684,0.785580404685836
5,5,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.8077816326530612,0.4995004995004995,0.8211551606288449,0.8059678316492074
6,6,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.796254889089467,0.5458739108149667,0.7993793726021213,0.7958239962651728
7,7,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.8015668114635411,0.5002503755633451,0.7611435439560439,0.8070443617186288
8,8,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.7820826719576719,0.5708133971291866,0.7762690925426775,0.7828587921314623
9,9,0,15,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7896471209290994,0.5323671497584541,0.8227197346600332,0.7853803716608595
10,10,0,15,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.7987398973350808,0.5118031140130588,0.7483311081441923,0.8057905384375973
11,11,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.7913624191324636,0.5265343793262575,0.8280603948896633,0.7866338930292418
12,12,0,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.8042774948122996,0.5068359375,0.8181753889674682,0.8024836452152746
13,13,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.8080012818414881,0.5256008359456635,0.8252093802345059,0.8057876996952628
14,14,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.785271629778672,0.5511472275334608,0.7773649370061926,0.786407707412862
15,15,0,35,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.8093600191754553,0.524949083503055,0.8250274303269696,0.8071959019126429
16,16,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.7943448891866243,0.5305907172995781,0.8405946738885127,0.7878173275999363
17,17,0,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.7903107898390916,0.54902962206333,0.783359440267335,0.791352806737422
18,18,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.7912889518413597,0.532258064516129,0.7610248447204968,0.7958236389018148
19,19,0,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.8026528850895939,0.5022488755622189,0.7167552602436322,0.8147789450645655
20,20,0,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.7794273963090564,0.571080817916261,0.7507342143906018,0.7836133553678541
21,21,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.7845397801378797,0.5353440150801131,0.78859410430839,0.7840005729967732
22,22,0,32,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.7937644640474829,0.5398679532757745,0.7530815423514537,0.799801457024044
23,23,0,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.7885523379312199,0.5309947140797694,0.7364393939393938,0.7959442448804152
24,24,0,80,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",True,1.0,0.7855209431870419,0.5532646048109966,0.7269089574155653,0.7941942944061587
25,25,0,69,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",True,1.0,0.8065229722064663,0.5087807325639739,0.7460815716421098,0.8152752009894868
26,26,0,55,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",True,1.0,0.7858122843340234,0.5763779527559055,0.7333110814419226,0.7932479278938577
27,27,0,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",True,1.0,0.7934064864263463,0.5425531914893617,0.8224434935264427,0.7891917502787068
28,28,0,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",True,1.0,0.8051330164289884,0.5050451407328731,0.8500740192450036,0.7994266917293232
29,29,0,45,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",True,1.0,0.809070844538614,0.5103305785123967,0.728751026272578,0.8213221251682788
30,30,0,65,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",True,1.0,0.8174745853397539,0.46615458473355736,0.8013879210220675,0.8195684051398336
31,31,1,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.8036485827986681,0.5200601805416248,0.8185702783528871,0.801658382425135
32,32,1,13,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.8005249839219305,0.5227513227513227,0.7522259136212625,0.8075036802355352
33,33,1,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.7932997040624159,0.5213429256594724,0.7668246445497631,0.7968829225083235
34,34,1,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.7923199527744983,0.5346995808104331,0.7652973635806255,0.7962998916380712
35,35,1,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.7931914313003139,0.5472938796155792,0.7814119601328903,0.7948467164643637
36,36,1,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.8148812911618831,0.46917148362235067,0.8160178289325208,0.8147261750754635
37,37,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.768673391908016,0.5869990224828935,0.7363738738738738,0.7733477680511579
38,38,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.7992716524683269,0.5306227483273289,0.7541165999109924,0.8055874572051043
39,39,1,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.7973771253622,0.5515937331172339,0.8204234052111411,0.794183784624961
40,40,1,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7940633824053512,0.5217174238642037,0.7971048513302035,0.7936382952130984
41,41,1,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.7988081846911993,0.5159904534606206,0.7227236501295078,0.8106237816764134
42,42,1,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.7904816171482838,0.5505787619526925,0.7584631008801624,0.794857204539847
43,43,1,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.7883720620724533,0.5555555555555556,0.7664275085034014,0.7915130077590141
44,44,1,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.7990311801007896,0.5101547388781431,0.8411725067385445,0.7932858674016231
45,45,1,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.7986234697729602,0.526183282980866,0.7210602178090968,0.8098331944573033
46,46,1,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.8000898849472675,0.49284725426857406,0.7497662535333769,0.807114024704847
47,47,1,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.7976537087399349,0.5561855670103093,0.7775589675122386,0.8003892523930692
48,48,1,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.815266026684022,0.4838709677419355,0.7218976997578692,0.8297626879699248
49,49,1,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.7850991247937813,0.5320320320320321,0.8109059233449476,0.7815674868078072
50,50,1,52,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.7893401588186864,0.5855130784708249,0.7056393678160918,0.8017799945090144
51,51,1,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.781297778889723,0.5420188960716061,0.7367471189388998,0.7878282973162491
52,52,1,48,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.7969688490953181,0.5244956772334294,0.8176633444075304,0.7941384950926935
53,53,1,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.7969270200998246,0.5370741482965932,0.7591198017668606,0.8023385455218357
54,54,1,43,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.7967280883367841,0.5472504004271223,0.8176020408163265,0.7938346691812038
55,55,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",True,1.0,0.7822406856261023,0.555668016194332,0.7809807256235828,0.7824149883932492
56,56,1,61,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",True,1.0,0.7972817574808342,0.5455991516436903,0.7305016181229774,0.8062907350235445
57,57,1,62,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",True,1.0,0.7921069433359936,0.5321275583055688,0.79940755644981,0.7911208744753451
58,58,1,78,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",True,1.0,0.8028176597272074,0.5279411764705882,0.7818322981366459,0.8055600649350648
59,59,1,42,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",True,1.0,0.803464068275712,0.5107018417122947,0.7951005291005292,0.8046964168771635
60,60,1,61,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",True,1.0,0.7914428105917467,0.5506653019447287,0.7592867916397329,0.7961242863416775
61,61,1,66,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",True,1.0,0.8034392287666775,0.5321243523316063,0.8255194805194804,0.8002766927083332
