,RunId,iteration,Step,side,density,population,homophily,town,mobility,rel_dist_random,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,13,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.7911228354978355,0.529066927210552,0.8326370170709794,0.7854374307862678
1,1,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.7912795918367347,0.5410923940786115,0.8205807200929152,0.7873917398674681
2,2,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.7984426008363685,0.5416243654822335,0.7683807319223986,0.8026345722278582
3,3,0,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.8005114588400627,0.5033783783783784,0.7976136363636364,0.8009248965474647
4,4,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.7849159027608773,0.552297165200391,0.7574806949806949,0.7888734181131842
5,5,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.8035855928773776,0.5320813771517997,0.7417032163742691,0.8127652817795954
6,6,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.7850354581243596,0.5402750491159135,0.8511461794019933,0.7758711737435141
7,7,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.8031147136273865,0.53125,0.8442682926829268,0.7976042735840253
8,8,0,38,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.7991459627329193,0.5166088249876054,0.8060890863522443,0.7982030694018999
9,9,0,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7987586017065785,0.5208647561588738,0.7213505926388023,0.8105683512578915
10,10,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.7872889202111489,0.5642666666666667,0.7213208616780045,0.7964450948918894
11,11,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.7985298955506209,0.521806054386865,0.7787024901703801,0.8013754349666133
12,12,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.806701656072265,0.52319309600863,0.7568124857598542,0.8136575177102195
13,13,0,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.7930304400241108,0.5482546201232033,0.8374379960317461,0.7875154007269143
14,14,0,35,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.7935139104185363,0.533433133732535,0.8573797376093295,0.7854639412034908
15,15,0,35,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.7978463445848664,0.5527638190954773,0.7798283499446291,0.80031220635931
16,16,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.7960714975046185,0.5163893091275845,0.8388049450549452,0.7902199128499326
17,17,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.8069630849457938,0.5253164556962026,0.8029478458049888,0.8075160031225606
18,18,0,42,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.8019986832204665,0.5103550295857988,0.8323440643863179,0.7978527138886343
19,19,0,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.8068751195257219,0.4803111327175498,0.8007208387942333,0.8077548790007807
20,20,0,45,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.8067269404898271,0.5078322385042952,0.780935534591195,0.8102913329608246
21,21,0,30,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.7875861122547002,0.5421747967479674,0.7651705276705276,0.7908751140905801
22,22,0,39,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.779737386945625,0.5558300395256917,0.7440366469168314,0.7847975179621163
23,23,0,111,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.8035594170403588,0.5249500998003992,0.7944499559082893,0.8048142917881439
