,RunId,iteration,Step,side,density,population,homophily,town,mobility,rel_dist_random,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.8000499689382276,0.5154536390827518,0.7831824279007377,0.8023678955453147
1,1,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.7899580627705628,0.564206268958544,0.8338238813113185,0.7843659436868919
2,2,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.7989395300716056,0.5208640157093766,0.8269497084548105,0.7954044399472602
3,3,0,27,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.7961184530565915,0.5271925526702597,0.7462659953849381,0.8034907709011943
4,4,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.8122868816853993,0.4819512195121951,0.8347909407665506,0.8093086169264347
5,5,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.7933365562807188,0.5403940886699508,0.7567548894557824,0.7986266101017554
6,6,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.7766548028145965,0.620253164556962,0.7875199362041467,0.7751773708832915
7,7,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.7956753570743208,0.535882661079099,0.8098914565826331,0.7937835864939583
8,8,0,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.8049234502359502,0.5045695045695046,0.8271787960467204,0.8019067409572526
9,9,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7932081464872944,0.5625927758535378,0.753508495909377,0.7989960852677616
10,10,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.8006949413042902,0.5282926829268293,0.7886425186188218,0.8022983846754338
11,11,0,36,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.8107704795204795,0.5013178703215604,0.7978842527109853,0.8124897779455241
12,12,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.8013622125133955,0.4833091436865022,0.816904761904762,0.7993344826515081
13,13,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.7959293175959843,0.515732546705998,0.7463555705300988,0.8027404869919451
14,14,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.7883972688277134,0.5760249091852621,0.7349867724867724,0.7958983528391851
15,15,0,27,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.7764567124648236,0.5669844455594582,0.7832656285262921,0.7755084079836555
16,16,0,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.8141294514351508,0.47710115752390536,0.835179117518567,0.8111084986990188
17,17,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.7849486815754338,0.5405684754521963,0.7466168327796234,0.7904539237204569
18,18,0,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.7947920041032285,0.5011753643629525,0.7948524480214622,0.7947837032943417
19,19,0,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.7961912967369601,0.5300713557594292,0.7602781198686371,0.8017127394363974
20,20,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.8125465662455459,0.4851889683350358,0.8610049183992846,0.8058917441896165
21,21,0,62,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.7973065137216617,0.51953125,0.8112983978638184,0.7953647087888334
22,22,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.7970282592623018,0.5244267198404786,0.8007248677248678,0.7964788953890671
23,23,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.7909211841287848,0.5278864970645792,0.7487879767291531,0.7969597307145945
24,24,0,60,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",True,1.0,0.8027900323520762,0.5260521042084169,0.8251774267399268,0.7998297157388067
25,25,0,39,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",True,1.0,0.8042726679712981,0.505940594059406,0.8189425770308123,0.8023394241417496
26,26,0,39,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",True,1.0,0.7988617853070532,0.4992707826932426,0.7955426356589148,0.7993254741792752
27,27,0,61,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",True,1.0,0.783867609184065,0.5764705882352941,0.8116031027795733,0.7798270395831371
28,28,0,38,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",True,1.0,0.7913230739450251,0.5309511826874685,0.7544859307359308,0.7967186608331748
29,29,0,86,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",True,1.0,0.8142762013481192,0.4930733709594664,0.8336529982363315,0.8115513392857143
30,30,0,38,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",True,1.0,0.7905771803103263,0.5269689737470167,0.7802844214608919,0.7920362564525489
31,31,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.7864565506750333,0.5547300643883111,0.7502512013979904,0.791598417868776
32,32,1,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.7906597052928112,0.5568802781917536,0.7770676691729322,0.7924936210765777
33,33,1,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.7892361959028626,0.5404868355688028,0.7808730158730159,0.7904660753190166
34,34,1,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.7856676930556682,0.5303760848601736,0.7860440420299576,0.785615975422427
35,35,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.7802032553912253,0.5463760770400405,0.7665399029982363,0.7821538727850692
36,36,1,27,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.7922216814039641,0.5894736842105263,0.7759546271338725,0.794448030987734
37,37,1,11,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.79851139073937,0.52475752935171,0.7994746255309635,0.7983767654043243
38,38,1,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.8037245093215243,0.5214435146443515,0.7945897607869439,0.8049970413279766
39,39,1,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.7741606665575738,0.5650072498791687,0.7105592469545957,0.7830922832882335
40,40,1,12,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7970896438804747,0.5212819228843265,0.7760107816711591,0.8000046593980058
41,41,1,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.7886035700491089,0.5581395348837209,0.747193492781728,0.7946843853820598
42,42,1,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.7836441874355216,0.5643070787637089,0.7470672389127324,0.7892473623242853
43,43,1,27,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.8004726080246913,0.5464421510048887,0.8375586854460093,0.7952585258525852
44,44,1,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.7763211872586873,0.5621190811064228,0.797101917690153,0.7733677844128005
45,45,1,32,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.7875574735823183,0.5733197556008147,0.7502547065337763,0.7927117762272003
46,46,1,43,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.7650059625443802,0.6022179363548699,0.7432594797178131,0.7680541392416799
47,47,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.796543266174723,0.5074092999489014,0.8221119929453261,0.7928784718930705
48,48,1,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.7983225108225107,0.5074555074555075,0.7619319417264623,0.8034941750872965
49,49,1,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.7851327658663241,0.5511773185968285,0.8114985330625142,0.7815848214285714
50,50,1,35,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.793509700176367,0.5257032007759457,0.8012193712436431,0.7924843985366904
51,51,1,47,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.8044830666774954,0.4997559785261103,0.8463447350771293,0.7987155793753465
52,52,1,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.7858529950441715,0.5408357075023742,0.7899829931972789,0.7852963200684637
53,53,1,30,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.7904019146653463,0.5459236326109391,0.7997448979591836,0.7891119564196488
54,54,1,40,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.7844737491770901,0.5465994962216625,0.798921832884097,0.7824639107611548
55,55,1,30,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",True,1.0,0.8083897573072528,0.5243568691844553,0.7395902547065337,0.818290622808695
56,56,1,81,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",True,1.0,0.7875757453882455,0.5411089866156787,0.7702610996089257,0.7898600868008133
57,57,1,57,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",True,1.0,0.7922109425962166,0.5766773162939297,0.7950609080841639,0.7918122811909409
58,58,1,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",True,1.0,0.8054092348724787,0.5007792207792208,0.7567817648386368,0.8122358457687799
